N,Iterative,Dynamic Programming,Recursive
1,1,0,0
2,3,1,1
3,6,3,4
4,10,6,11
5,15,10,26
6,21,15,57
7,28,21,120
8,36,28,247
9,45,36,502
10,55,45,1013
11,66,55,2036
12,78,66,4083
13,91,78,8178
14,105,91,16369
15,120,105,32752
16,136,120,65519
17,153,136,131054
18,171,153,262125
19,190,171,524268
20,210,190,1048555
21,231,210,2097130
22,253,231,4194281
23,276,253,8388584
24,300,276,16777191
25,325,300,33554406
26,351,325,67108837
27,378,351,134217700
28,406,378,268435427
29,435,406,536870882
30,465,435,1073741793
31,496,465,2147483616
32,528,496,4294967263
33,561,528,8589934558
34,595,561,-
35,630,595,-
36,666,630,-
37,703,666,-
38,741,703,-
39,780,741,-
40,820,780,-
