n,Iterative,Recursive,Dynamic Programming
1,0.00301,0.00517,0.00315
2,0.00266,0.00257,0.00295
3,0.00479,0.00258,0.00462
4,0.00584,0.00284,0.00271
5,0.00264,0.00318,0.00264
6,0.00274,0.00493,0.00252
7,0.00322,0.00526,0.00294
8,0.00303,0.00528,0.00265
9,0.00493,0.00249,0.00298
10,0.00524,0.00278,0.00480
11,0.00265,0.00533,0.00285
12,0.00308,0.00261,0.00274
13,0.00264,0.00296,0.00260
14,0.00259,0.00273,0.00536
15,0.00299,0.00267,0.00279
16,0.00264,0.00484,0.00546
17,0.00249,0.00514,0.00548
18,0.00298,0.00548,0.00316
19,0.00277,0.00512,0.00309
20,0.00335,0.00915,0.00296
21,0.00310,0.01708,0.00531
22,0.00266,0.03376,0.00585
23,0.00299,0.06577,0.00593
24,0.00312,0.11530,0.00345
25,0.00250,0.16540,0.00539
26,0.00515,0.31595,0.00332
27,0.00251,0.56662,0.00572
28,0.00544,1.06842,0.00351
29,0.00257,2.12054,0.00556
30,0.00262,4.22537,0.00547
31,0.00264,8.58806,0.00582
32,0.00498,18.01052,0.00339
33,0.00492,35.35277,0.00541
34,0.00259,-,0.00585
35,0.00545,-,0.00518
36,0.00281,-,0.00504
37,0.00298,-,0.00292
38,0.00261,-,0.00512
39,0.00260,-,0.00522
40,0.00294,-,0.00490
41,0.00289,-,0.00312
42,0.00261,-,0.00252
43,0.00254,-,0.00501
44,0.00500,-,0.00268
45,0.00278,-,0.00264
46,0.00262,-,0.00262
47,0.00260,-,0.00263
48,0.00259,-,0.00497
49,0.00268,-,0.00472
50,0.00284,-,0.00253
51,0.00473,-,0.00496
52,0.00293,-,0.00268
53,0.00263,-,0.00531
54,0.00326,-,0.00273
55,0.00268,-,0.00290
56,0.00276,-,0.00260
57,0.00485,-,0.00526
58,0.00488,-,0.00312
59,0.00282,-,0.00525
60,0.00528,-,0.00507
61,0.00276,-,0.00556
62,0.00314,-,0.00492
63,0.00296,-,0.00468
64,0.00281,-,0.00257
65,0.00260,-,0.00514
66,0.00291,-,0.00477
67,0.00301,-,0.00477
68,0.00259,-,0.00474
69,0.00264,-,0.00261
70,0.00524,-,0.00482
71,0.00283,-,0.00289
72,0.00538,-,0.00478
73,0.00265,-,0.00478
74,0.00529,-,0.00525
75,0.00307,-,0.00568
76,0.00322,-,0.00269
77,0.00297,-,0.00503
78,0.00296,-,0.00510
79,0.00476,-,0.00506
80,0.00274,-,0.00501
81,0.00488,-,0.00516
82,0.00303,-,0.00261
83,0.00496,-,0.00263
84,0.00258,-,0.00261
85,0.00503,-,0.00296
86,0.00315,-,0.00480
87,0.00262,-,0.00486
88,0.00276,-,0.00462
89,0.00257,-,0.00465
90,0.00292,-,0.00465
91,0.00281,-,0.00498
92,0.00492,-,0.00523
93,0.00521,-,0.00509
94,0.00268,-,0.00474
95,0.00296,-,0.00493
96,0.00292,-,0.00505
97,0.00304,-,0.00506
98,0.00296,-,0.00474
99,0.00509,-,0.00531
100,0.00278,-,0.00512
101,0.00524,-,0.00532
