N,Iterative,Dynamic Programming,Recursive
1,0.000001,0.000000,0.000000
2,0.000001,0.000002,0.000000
3,0.000001,0.000003,0.000000
4,0.000001,0.000005,0.000000
5,0.000001,0.000005,0.000000
6,0.000002,0.000007,0.000001
7,0.000002,0.000008,0.000001
8,0.000002,0.000010,0.000002
9,0.000002,0.000012,0.000003
10,0.000002,0.000013,0.000005
11,0.000002,0.000015,0.000009
12,0.000003,0.000017,0.000016
13,0.000003,0.000018,0.000031
14,0.000003,0.000019,0.000088
15,0.000003,0.000020,0.000116
16,0.000003,0.000022,0.000228
17,0.000003,0.000026,0.000450
18,0.000003,0.000024,0.000897
19,0.000003,0.000027,0.001799
20,0.000004,0.000028,0.003792
21,0.000004,0.000029,0.008036
22,0.000004,0.000031,0.015118
23,0.000005,0.000033,0.030999
24,0.000004,0.000033,0.059801
25,0.000005,0.000036,0.131320
26,0.000005,0.000037,0.245249
27,0.000005,0.000036,0.502545
28,0.000008,0.000042,1.027810
29,0.000005,0.000036,2.013311
30,0.000006,0.000040,3.983133
31,0.000010,0.000049,7.998964
32,0.000006,0.000045,15.942717
33,0.000006,0.000044,33.057827
34,0.000006,0.000050,-
35,0.000011,0.000057,-
36,0.000007,0.000055,-
37,0.000007,0.000055,-
38,0.000007,0.000057,-
39,0.000011,0.000059,-
40,0.000024,0.000067,-
